Timestamp,Temperature_C,Humidity_Percent,IT_Load_kW,Total_Power_kW,Cooling_Power_kW,PUE
2026-09-01 00:00:00,22.49,40.55,124.49,165.82,33.82,1.332
2026-09-01 01:00:00,29.41,51.26,121.99,171.3,43.11,1.404
2026-09-01 02:00:00,26.78,61.19,234.06,293.18,48.27,1.253
2026-09-01 03:00:00,25.18,56.97,122.42,169.95,32.84,1.388
2026-09-01 04:00:00,19.87,59.2,126.23,165.34,30.33,1.31
2026-09-01 05:00:00,19.87,54.76,209.1,249.78,35.06,1.195
2026-09-01 06:00:00,18.7,55.77,156.46,192.67,27.82,1.231
2026-09-01 07:00:00,28.39,60.48,212.04,269.94,47.84,1.273
2026-09-01 08:00:00,25.21,42.49,91.11,127.29,29.56,1.397
2026-09-01 09:00:00,26.5,49.68,162.89,216.06,41.59,1.326
2026-09-01 10:00:00,18.25,41.64,85.71,120.86,20.17,1.41
2026-09-01 11:00:00,29.64,64.63,90.65,137.17,37.01,1.513
2026-09-01 12:00:00,27.99,63.32,234.09,288.31,45.67,1.232
2026-09-01 13:00:00,20.55,36.18,103.67,142.02,29.34,1.37
2026-09-01 14:00:00,20.18,56.17,170.51,207.32,30.66,1.216
2026-09-01 15:00:00,20.2,62.76,149.89,197.08,33.36,1.315
2026-09-01 16:00:00,21.65,40.42,139.05,178.73,30.53,1.285
2026-09-01 17:00:00,24.3,52.04,232.97,281.51,39.67,1.208
2026-09-01 18:00:00,23.18,62.46,83.71,122.55,27.24,1.464
2026-09-01 19:00:00,21.49,36.02,192.84,240.41,38.14,1.247
2026-09-01 20:00:00,25.34,55.92,243.78,300.46,45.2,1.233
2026-09-01 21:00:00,19.67,43.92,175.23,211.28,30.43,1.206
2026-09-01 22:00:00,21.51,62.73,239.26,292.12,39.72,1.221
2026-09-01 23:00:00,22.4,64.13,88.88,133.0,29.71,1.496
2026-09-02 00:00:00,23.47,63.33,151.19,200.22,37.54,1.324
2026-09-02 01:00:00,27.42,49.23,124.23,180.74,41.97,1.455
2026-09-02 02:00:00,20.4,60.86,204.24,244.97,34.21,1.199
2026-09-02 03:00:00,24.17,60.34,246.82,297.94,41.35,1.207
2026-09-02 04:00:00,25.11,44.57,123.61,169.35,34.73,1.37
2026-09-02 05:00:00,18.56,59.87,191.21,233.68,31.65,1.222
2026-09-02 06:00:00,25.29,36.11,113.68,155.79,33.1,1.37
2026-09-02 07:00:00,20.05,52.89,176.11,214.73,30.24,1.219
2026-09-02 08:00:00,18.78,41.9,158.87,194.7,29.57,1.226
2026-09-02 09:00:00,29.39,38.62,245.24,305.76,51.6,1.247
2026-09-02 10:00:00,29.59,37.31,183.45,237.2,47.12,1.293
