Timestamp,Temperature_C,Humidity_Percent,IT_Load_kW,Cooling_Power_kW,Total_Power_kW,PUE
2026-09-13 13:11:05,24.93,56.95,174.6,42.26,226.83,1.299
2026-09-13 13:12:05,26.94,57.93,139.74,44.6,198.68,1.422
2026-09-13 13:26:15,21.37,55.74,110.52,29.56,148.15,1.341
2026-09-13 13:26:45,22.74,40.79,216.24,41.71,263.64,1.219
2026-09-13 13:27:15,22.12,49.38,170.11,36.34,220.42,1.296
2026-09-13 13:27:45,24.51,44.11,166.49,35.84,213.71,1.284
2026-09-13 13:28:13,26.24,51.72,155.61,38.64,204.09,1.311
2026-09-13 13:28:45,25.58,56.44,162.62,38.88,208.29,1.281
2026-09-13 13:29:16,24.6,48.49,148.95,36.09,192.94,1.295
2026-09-13 13:29:46,22.35,55.32,211.28,40.7,263.15,1.245
2026-09-13 13:30:16,24.33,58.96,185.24,38.08,231.43,1.249
2026-09-13 13:30:46,22.02,41.49,168.24,37.95,219.51,1.305
2026-09-13 13:30:56,20.78,49.55,128.88,34.35,169.59,1.316
2026-09-13 13:31:28,25.2,59.75,196.68,39.1,247.97,1.261
2026-09-13 13:31:58,20.95,43.42,177.37,34.4,223.85,1.262
2026-09-13 13:32:28,21.59,41.81,105.51,28.17,148.4,1.406
2026-09-13 13:32:58,23.11,55.85,188.85,39.94,241.45,1.279
2026-09-13 13:33:28,26.7,52.38,169.32,44.64,219.99,1.299
2026-09-13 13:33:58,23.42,45.23,175.35,33.02,214.72,1.225
2026-09-13 13:34:02,22.48,43.38,132.32,29.18,172.46,1.303
2026-09-13 13:34:33,26.06,40.67,114.73,37.31,160.11,1.396
2026-09-13 13:35:04,24.46,50.92,156.88,35.54,200.56,1.278
2026-09-13 13:35:33,21.95,43.82,187.58,30.88,225.79,1.204
2026-09-13 13:35:35,20.87,44.28,142.38,29.79,181.53,1.275
2026-09-13 13:36:03,27.86,50.06,185.86,45.78,244.74,1.317
2026-09-13 13:36:34,26.37,45.79,215.47,42.43,270.31,1.255
2026-09-13 13:37:04,24.76,57.86,175.99,38.5,223.88,1.272
2026-09-13 13:37:34,23.29,59.76,114.82,30.78,152.17,1.325
2026-09-13 13:38:04,24.52,44.52,156.28,39.08,208.7,1.335
2026-09-13 13:51:59,26.87,49.3,136.84,42.47,186.46,1.363
2026-09-13 13:52:31,24.89,41.96,138.91,37.42,189.74,1.366
2026-09-13 13:53:01,27.47,53.67,123.58,41.13,177.84,1.439
2026-09-13 13:53:31,25.73,54.77,199.25,40.89,252.92,1.269
2026-09-13 13:54:01,23.6,57.75,120.51,32.68,167.45,1.39
2026-09-13 13:54:31,23.18,41.24,142.15,38.41,187.25,1.317
2026-09-13 13:55:01,25.5,57.6,168.09,36.6,209.76,1.248
2026-09-13 13:55:31,24.17,44.48,164.75,39.82,219.2,1.331
2026-09-13 13:56:05,26.59,59.7,119.55,36.4,165.56,1.385
2026-09-13 13:57:05,26.88,51.72,109.91,37.3,159.35,1.45
2026-09-13 13:57:27,22.47,57.82,190.97,35.37,239.6,1.255
2026-09-13 13:58:05,20.64,56.38,159.26,35.62,206.42,1.296
2026-09-13 13:58:34,21.61,51.07,109.37,24.55,141.91,1.298
2026-09-13 13:59:04,20.59,43.8,168.5,35.95,216.42,1.284
2026-09-13 13:59:35,25.32,54.42,123.73,33.9,171.22,1.384
2026-09-13 14:00:05,25.64,56.32,168.8,40.99,223.28,1.323
2026-09-13 14:00:30,21.7,50.21,113.65,25.06,149.27,1.313
2026-09-13 14:00:36,23.43,43.1,147.51,32.22,189.26,1.283
2026-09-13 14:00:41,22.6,43.04,105.36,30.8,148.91,1.413
2026-09-13 14:01:05,23.22,51.1,197.92,37.6,243.08,1.228
2026-09-13 14:01:34,23.18,57.8,158.51,36.66,205.2,1.295
2026-09-13 14:01:34,25.5,58.94,193.96,43.37,245.39,1.265
2026-09-13 14:01:41,24.19,54.52,122.8,30.1,166.55,1.356
2026-09-13 14:02:05,25.33,50.07,199.85,40.36,251.71,1.259
2026-09-13 14:02:35,24.81,45.47,148.26,35.38,193.3,1.304
2026-09-13 14:03:04,20.76,47.33,102.09,29.07,145.2,1.422
2026-09-13 14:03:18,27.68,50.4,114.32,40.68,165.94,1.452
2026-09-13 14:03:20,25.01,58.26,179.03,38.65,229.22,1.28
2026-09-13 14:03:21,20.16,40.5,140.7,29.06,175.45,1.247
2026-09-13 14:03:24,25.44,51.38,121.42,34.81,165.37,1.362
2026-09-13 14:03:35,22.19,55.2,180.75,31.73,219.87,1.216
2026-09-13 14:04:05,24.09,47.76,118.18,35.83,164.67,1.393
2026-09-13 14:05:05,20.5,58.83,132.92,29.63,169.55,1.276
2026-09-13 14:06:05,20.19,42.69,119.88,26.27,152.17,1.269
